id,content,author,category
a0000000-0000-0000-0000-000000000001,"Conheça o seu inimigo e conheça a si mesmo, e você vencerá mil batalhas.",Sun Tzu,Militar
a0000000-0000-0000-0000-000000000002,A vitória pertence aos mais perseverantes.,Napoleão Bonaparte,Militar
a0000000-0000-0000-0000-000000000003,A disciplina é a alma de um exército.,George Washington,Militar
a0000000-0000-0000-0000-000000000004,Um exército de cervos liderado por um leão é mais temível do que um exército de leões liderado por um cervo.,Plutarco,Militar
a0000000-0000-0000-0000-000000000005,"Se você quer a paz, prepare-se para a guerra.",Vegetius,Militar
a0000000-0000-0000-0000-000000000006,A tenacidade é o combustível da vitória nas batalhas da vida.,Anônimo,Militar
a0000000-0000-0000-0000-000000000007,A imaginação é mais importante que o conhecimento.,Albert Einstein,Científica
a0000000-0000-0000-0000-000000000008,"Se enxerguei mais longe, foi por estar sobre os ombros de gigantes.",Isaac Newton,Científica
a0000000-0000-0000-0000-000000000009,A dúvida é o princípio da sabedoria.,Aristóteles,Científica
a0000000-0000-0000-0000-000000000010,A ciência sem consciência não passa de ruína da alma.,François Rabelais,Científica
a0000000-0000-0000-0000-000000000011,O que sabemos é uma gota; o que ignoramos é um oceano.,Isaac Newton,Científica
a0000000-0000-0000-0000-000000000012,"Não há fatos eternos, como não há verdades absolutas.",Friedrich Nietzsche,Científica
a0000000-0000-0000-0000-000000000013,Tudo posso naquele que me fortalece.,Filipenses 4:13,Religiosa
a0000000-0000-0000-0000-000000000014,"O Senhor é o meu pastor, nada me faltará.",Salmos 23:1,Religiosa
a0000000-0000-0000-0000-000000000015,A fé é a certeza daquilo que esperamos e a prova das coisas que não vemos.,Hebreus 11:1,Religiosa
a0000000-0000-0000-0000-000000000016,"Entrega o teu caminho ao Senhor; confia nele, e ele tudo fará.",Salmos 37:5,Religiosa
a0000000-0000-0000-0000-000000000017,"Tudo tem o seu tempo determinado, e há tempo para todo propósito debaixo do céu.",Eclesiastes 3:1,Religiosa
a0000000-0000-0000-0000-000000000018,"Buscai primeiro o Reino de Deus e a sua justiça, e todas as outras coisas vos serão acrescentadas.",Mateus 6:33,Religiosa
a0000000-0000-0000-0000-000000000019,Conhece-te a ti mesmo.,Sócrates,Filosófica
a0000000-0000-0000-0000-000000000020,Só sei que nada sei.,Sócrates,Filosófica
a0000000-0000-0000-0000-000000000021,A vida sem exame não vale a pena ser vivida.,Sócrates,Filosófica
a0000000-0000-0000-0000-000000000022,"Somos o que fazemos repetidamente; a excelência não é um hábito, mas um ato.",Aristóteles,Filosófica
a0000000-0000-0000-0000-000000000023,O que não me destrói me fortalece.,Friedrich Nietzsche,Filosófica
a0000000-0000-0000-0000-000000000024,"Quem olha para fora sonha; quem olha para dentro desperta.",Carl Jung,Filosófica
a0000000-0000-0000-0000-000000000025,O segredo de ir adiante é começar.,Mark Twain,Produtividade
a0000000-0000-0000-0000-000000000026,A melhor maneira de prever o futuro é criá-lo.,Peter Drucker,Produtividade
a0000000-0000-0000-0000-000000000027,Foco é a arte de dizer não.,Steve Jobs,Produtividade
a0000000-0000-0000-0000-000000000028,"Aja como se o que você faz fizesse a diferença, porque faz.",William James,Produtividade
a0000000-0000-0000-0000-000000000029,Cada minuto gasto em planejamento economiza dez minutos de execução.,Brian Tracy,Produtividade
a0000000-0000-0000-0000-000000000030,O sucesso é a soma de pequenos esforços repetidos dia após dia.,Robert Collier,Produtividade
